id,customUrl,video_category,viewCount,subscriberCount,videoCount
UCVaXclURQZlakiTMzuwHvRw,@news19wltx,Society,150105437,249000,24026
UCQqaNnVhS1w_iTeFaIJsXog,@channel4comedy,Humour,132644274,167000,726
UC6YN4FNhAKN3MDO5DbJSnOA,@queencitynews,Society,83768935,125000,11538
UCjlgDApB1OrU_3-1dLMHOZg,@cookingwithshotgunred,Food,44025876,422000,453
UCf7J0vxbg6SsIjY9587PEiQ,@britishcomedyguide,Film,40935727,37800,951
UCAlZ-9e75wau2hY_wWFliNA,@defenseflashnewstoday,Military,36648536,114000,50194
UCMffaLPtQHcuQ6UY83qtM0g,@journalingtale,Lifestyle,34765405,181000,502
UCECGTK7DkU7I8SSfBItn3uw,@carinanatalie,Lifestyle,29901260,435000,132
UCL-yKZ_kCuKBHyeRfePpvuw,@educationweek,Society,14216746,34900,1152
UCXwFtLCUu10dJKKWD_TD2LQ,@neaabs,Society,9810278,6840,1626
UCdBjEJpySOp2fY6f3x6TfPg,@cookingwithduaa,Food,6337390,60700,360
UCmTSflg4X32Qkxuz5Mw1k8w,@nowcomedy,Film,5114628,4820,166
UCf9Ua7W95KDm28d16otkm0Q,@thecookingdoc,Lifestyle,4077404,80100,319
UCged4xNWHYsJTGPQ5rn6HmA,@cookingwithshirley,Lifestyle,3646809,30600,207
UCrdJ-n4brmIZy975U-4iwsQ,@tevdoncomedy,Humour,3228191,35000,165
UC22gUNj0sgOlBAR_zLfdh5A,@cookingaddiction,Food,3198996,28800,136
UCfV7GnI8E_RnxMjc5-x8mAQ,@traphousemusicgreece,Electronic_music,2292609,5080,23
UCrWtfbfTrZn9penvY3xwWig,@kakenewsonyourside,Society,1994821,4300,2898
UCwcEhBb53uJO4ogeBLLh2yQ,@mykingdommusic,Music,1681946,2650,281
UCtxFOnPpYdQuDog6fGlp1Eg,@traveladdictguy,Lifestyle,1607054,8150,594
UCaPrv_BwRFvpIsSnXSmGt0w,@mtbtravelreview,Lifestyle,1526362,14600,148
UCIPX0CTQmfGb7PoRG0MNsnQ,,Food,1451828,33700,28
UC1zhHVE2KIwnqfJ5r77cM7A,@elyrosekim,Food,1294470,13000,409
UCHU5LSiGQsCbdPKKreHcITw,@countynewstv,Society,1273273,5310,617
UCMQEmETLCqv088mFEIlLQyQ,@sorinexexerciseequipment,Lifestyle,1249456,7230,257
UCfKqi5ZUXqXxErUgTdMkSDQ,@learningmusichub,Music,1245134,3730,43
UCK45CFLlvd9pP7IzVYDWIMw,@travelwithjaro,Lifestyle,1100914,9510,195
UC5TKWxKKl1IRfTZsVgS0ziA,ninasnutritionandexercisevideos,Physical_fitness,806787,1120,333
UCG-PXXY7gyI7LOMeE0rl_KA,@georgiacookingforthesoul,Lifestyle,767928,10000,461
UCTNAGaw3TauzN7pkJTaZZtg,@allstardrivereducationinc,Knowledge,745671,3070,61
UCJDIvab5y2yIBzzkbIgy8WQ,@adammullercomedy,Film,704732,1270,232
UCitLqDolQHZ_tldN-bXGDwg,@travelbro1,Food,666274,12000,96
UCIzKAXlRpnPzulWndJ0SOSA,@danjseif,Lifestyle,655047,1800,81
UC2NTBsmAC2ePOrUkpRvogoA,,Society,612054,1180,6288
UCBjoR2uNSYyBVRKq-ZLinuw,@alikitravelblog,Hobby,537654,10100,91
UCnODsMthEUVnqFSisw8E4ow,,Lifestyle,511386,2230,201
UC4z1t_toTtWFG6PGpcgzWcw,@redcupnews,American_football,475028,4090,82
UCzOwecflGQFfHvMp-vMJCgQ,@oldtimewhimcooking,Lifestyle,462242,2620,275
UCPXW0F7HwfXhZY6-rZwJt4w,@julesmusicofficial,Pop_music,442176,1060,34
UC-yI6rR_EGSY8cVs4qHo0BQ,@etstutorial,Knowledge,316900,417,175
UC8Ewe7WqGg01KRNjJCO5cjg,@edlaborrepublicans,Society,270182,1150,826
UCaBFtf4I61T9UO9WKhUG-dA,@homecookingwithjeanette,Lifestyle,256236,2610,202
UCGffDssIzCydUTNgFNIJyxQ,@gotraveltv,Tourism,194925,725,108
UCC7jlYxfWti7WAW8r7ef1RQ,@anyonecantravel,Hobby,184778,829,109
UCIWC3bm2eKj0wLGFULhzKdA,,Knowledge,164730,1760,87
UC9QMc_tF7lIdTQLpezdOCxA,@timewithmoditime,Lifestyle,162483,3290,96
UCjGC05n79MPgDcnhtsG5_cQ,@4ktraveltours,Tourism,154532,1270,55
UCEHB7jMymvg63b6x30qx5Jw,@cookingwithbrucemark,Food,145679,1870,115
UC2CtsATmHPFq8Ky5olCu3jQ,@mytravelbf,Tourism,144628,1160,80
UClgD65bB6SJPTPv20qIVKDw,,Physical_fitness,131121,2090,579
UCx29pmyVOjk7ZinBNUDVgnQ,@travelbite,Tourism,110662,1030,58
UCitSKTq6Ghg2bBKC4YdKd_Q,,Lifestyle,95686,1450,65
UCS-SLEeQ1F7k7mpmhnKVMKw,,Food,86362,843,72
UCfOjz88tFouLzzDWqN9apKg,,Lifestyle,78129,1620,108
UCs0Pz9jzByzbhQGsMoW4jcw,@texashealtheducationservice,Knowledge,77804,902,257
UC9LGi7FRFTxNT7WK6jr6OXw,,Physical_fitness,77694,1650,151
UCj5BN5C0lmsq3QptHFEvipg,,Lifestyle,72513,363,130
UCMM9Z0_Ur9U_hpmTzGaHvaA,,Physical_fitness,56921,387,182
UCfxUyLb5D-KpCt15hfGbtrA,@musicfromstandrews,Classical_music,54572,728,134
UCTM1z1vpulAL3zt61PDDzkw,@andrewandmegan,Hobby,50517,515,31
UCLq4U2sExYRjYd0tMdmWUmA,@ithacacollegecenterformusic,Christian_music,49181,669,28
UC_E5qa-s0VEocKVV1KPtNgw,@fieldworkeducation,Knowledge,38240,679,62
UC_lf4_Wss_uW0KGny_A3erg,,Knowledge,23790,610,249
UCGZrQMFEhuo6cV4wenQ6xLQ,@ovision01,Lifestyle,17218,273,12
UCxAIx1VAAKW0F7L5Xaqensg,@stabcomedytheater,Society,13730,249,1425
UCEGGyGmo0NbAPmw1zVNdXbg,,Technology,11208,171,72
UCykt3TNvH5xJwA3O_WVvQpA,,Classical_music,6473,233,39
UCmHCmV4rVl_2_wg2l60nzjA,,Lifestyle,5179,16,28
UCwo2cn9mViQ8Y9xKH3ZPKDA,,Technology,937,94,7
UCXQC_SxY3XXbvbombLEu5hg,@traveltipstuesday,Lifestyle,791,21,101
UCbCmjCuTUZos6Inko4u57UQ,@cocomelon,Music,142468175305,146000000,811
UCJplp5SjeGSdVdwsfb9Q7lQ,@likenastyaofficial,Hobby,85183017773,102000000,729
UCk8GzjMOrta8yxDcKfylJYw,@kidsdianashow,Hobby,83311249514,102000000,1030
UCJ5v_MCY6GNUBTO8-D3XoAg,@wwe,Lifestyle,72222883101,91600000,64797
UCvlE5gTbOvjiolFlEm-c_Ow,@vladandniki,Lifestyle,69985080921,89200000,498
UC3gNmTGu-TTbFPpfSs5kNkg,@movieclips,Action-adventure_game,59357635537,58100000,39628
UCcdwLMPsaU2ezNSJU1nFoBQ,@pinkfong,Entertainment,34102257505,61800000,2486
UC4NALVCmcmL5ntpV0thoH6w,@loolookids,Entertainment,30013904671,51100000,576
UCIwFjwMjI0y7PDBVEO9-bkQ,@justinbieber,Hip_hop_music,29118070497,70400000,248
UC-lHJZR3Gqxm24_Vd_AJ5Yw,@pewdiepie,Video_game_culture,28570510467,111000000,4514
UC0C-w0YjGpqDXGB8IHb662A,@edsheeran,Rock_music,28469930227,52600000,258
UCqECaJ8Gagnn7YCbPEzWH6g,@taylorswift,Pop_music,26581134599,49200000,194
UCfM3zsQsOnfWNUppiycmBuw,@eminem,Music,24541103322,54000000,140
UC9CoOnJkIBMdeijd9qYoT_g,@arianagrande,Pop_music,22606534238,52000000,146
UCX6OQ3DkcsbYNE6H8uQQuVA,@mrbeast,Lifestyle,18120591612,109000000,731
UCRijo3ddMTht_IHyNSNXpNQ,dudeperfect,Lifestyle,15051897307,58300000,304
UCiGm_E4ZwYSHV3bcW1pnSeQ,@billieeilish,Music,12444429054,46900000,49
UC4rlAVgAK0SGk-yTfe48Qpw,@brightsideofficial,Entertainment,10243824899,44100000,4873
UCRx3mKNUdl8QE06nEug7p6Q,billionsurprisetoysnurseryrhymes,Music,8830680996,47800000,673
UC8-Th83bH_thdKZDJCrn88g,@fallontonight,Film,16489352119,30300000,8168
UCY30JRSgfhYXA6i6xX1erWg,@smosh,Entertainment,10215915230,24900000,1406
UCPDXXXJj9nax0fr0Wfc048g,@collegehumor,Television_program,7376426348,14600000,3316
UCi9cDo6239RAzPpBZO9y5SA,@lelepons,Television_program,4999570389,17700000,154
UCV9_KinVpV-snHe3C3n1hvA,@shane,Lifestyle,4280678727,19500000,567
UCB0d0JLn1WcGYcwwZ87d2LA,@rclbeauty101,Music,3878829743,14400000,461
UCfm4y4rHF5HGrSr-qbvOwOg,@lillysingh,Entertainment,3471359510,14600000,869
UCxSz6JVYmzVhtkraHWZC7HQ,@lizakoshy,Film,2601132326,17300000,189
UCPDis9pjXuqyI7RYLJ-TTSA,@failarmy,Entertainment,2263525696,16200000,362
UC9gFih9rw0zNCK3ZtoKQQyA,@jennamarbles,Lifestyle,1771031767,19800000,250
UCJFp8uSYCjXOMnkUyb3CQ3Q,@buzzfeedtasty,Lifestyle,5563502938,21000000,4372
UCJHA_jMfCvEnv-3kRjTCQXw,@babishculinaryuniverse,Lifestyle,2418112820,9900000,557
UCbpMy0Fg74eXXkvxJrtEn3w,@bonappetit,Food,1666837397,6130000,1369
UCsP7Bpw36J666Fct5M8u-ZA,@howtocookthat,Lifestyle,888257555,4910000,493
UCfyehHM_eo4g5JUyWmms2LA,@sortedfood,Food,882817587,2640000,1752
UCpSgg_ECBj25s9moCDfSTsA,@jamieoliver,Food,863099573,5740000,1798
UC8gFadPgK2r1ndqLI04Xvvw,@maangchi,Food,679293948,6120000,480
UCNbngWUqL2eqRw12yAwcICg,@laurainthekitchen,Food,642625761,3870000,1747
UCYjk_zY-iYR8YNfJmuzd70A,@epicmealtime,Food,562416182,6890000,422
UCRxAgfYexGLlu1WHGIMUDqw,@junskitchen,Hobby,383114517,5320000,38
UCpVm7bg6pXKo1Pr6k5kxG9A,@natgeo,Film,5313220857,20700000,9939
UCsooa4yRKGN_zEE8iknghZA,@teded,Entertainment,3381788753,17800000,1973
UC1zZE_kJ8rQHgLTVfobLi_g,@thekingofrandom,Hobby,3351014609,12500000,1450
UCYenDLnIHsoqQ6smwKXQ7Hg,,Entertainment,2471180324,8320000,860
UC4a-Gbdw7vOaccHmFo40b9g,@khanacademy,Knowledge,2007495792,7550000,8346
UCHnyfMqiRRG1u-2MsSQLbXA,@veritasium,Knowledge,1866220335,13000000,340
UCX6b17PVsYBQ0ip5gyeme-Q,@crashcourse,Lifestyle,1737086652,14100000,1452
UCZYTClx2T1of7BRZ86-8fow,@scishow,Knowledge,1652302178,7280000,3129
UCXhSCMRRPyxSoyLSPFxK7VA,@matthewsantoro,Film,1469460276,6130000,933
UCGi_crMdUZnrcsvkCa8pt-g,@alltime10s,Knowledge,1440591844,5570000,1374
UCIJwWYOfsCfz6PjxbONYXSg,@blogilates,Hobby,2011288007,7600000,1091
UCiP6wD_tYlYLYh3agzbByWQ,@fitnessblender,Lifestyle,1255108574,6660000,958
UCBINFWq52ShSgUFEoynfSwg,@popsugarfitness,Physical_fitness,942939712,6020000,1563
UCyqR7WkL8i1b6xtSssDmW9w,@thefitnessmarshall,Hobby,900355080,4300000,490
UCEtMRF1ywKMc4sf3EXYyDzw,@scotthermanfitness,Physical_fitness,602906424,2720000,1826
UCM1Nde-9eorUhq-teaWlgUA,@xhit,Lifestyle,536947045,3240000,694
UC4GJndVHEhdmqLFBHOCi97A,@jordanyeohfitness,Physical_fitness,302737660,3640000,275
UCEQi1ZNJiw3YMRwni0OLsTQ,@whitneysimmons,Lifestyle,222337247,2080000,430
UCGMOauU8dOd4mv2bT3Tx57w,@gurumannfitness,Physical_fitness,170350424,2350000,411
UCiH4auDlkM0tgn9ewT3B1Vw,@saschafitnesstv,Food,131027169,1920000,251
UC9MAhZQQd9egwWCxrwSIsJQ,@history,Film,3435765658,10900000,8638
UC510QYlOlKNyhy_zdQxnGYw,@simplehistory,Film,1087509237,4050000,624
UC88lvyJe7aHZmcvzvubDFRg,@timelinechannel,Knowledge,984667385,4420000,1011
UCNIuvl7V8zACPpTmmNIqP2A,@oversimplified,Knowledge,912902296,6900000,29
UCodbH5mUeF-m_BsNueRDjcw,@overlysarcasticproductions,Strategy_video_game,564734731,2040000,455
UClfEht64_NrzHf8Y0slKEjw,@alternatehistoryhub,Strategy_video_game,331855222,2160000,242
UCggHoXaj8BQHIiPmOxezeWA,@historybuffs,Entertainment,175233908,1430000,88
UCv_vLHiWVBh_FR9vbeuiY-A,@historiacivilis,Strategy_video_game,106661887,895000,82
UCx-dJoP9hFCBloY9qodykvw,@bazbattles,Knowledge,85826404,711000,76
UCHdluULl5c7bilx1x1TGzJQ,@featurehistory,Society,38726149,590000,55
UCYvmuw-JtVrTZQ-7Y4kd63Q,@katyperry,Pop_music,24334843620,43500000,119
UCpDJl2EmP7Oh90Vylx0dZtA,@spinninrecords,Music,20386936170,29800000,10940
UCoUM-UJ7rirJYP8CQ0EIaHA,@brunomars,Pop_music,17894740372,35700000,97
UCEdvpU2pFRCVqU6yIPyTpMQ,@marshmellomusic,Hip_hop_music,13763100048,56000000,403
UCa10nxShhzNrCE1o2ZOPztg,@trapnation,Electronic_music,13599758367,30500000,2542
UCb2HGwORFBo94DmRx4oLzow,@onedirectionchannel,Music,12921232637,37600000,157
UC9k-yiEpRHMNVOnOi_aQK8w,@insideedition,Lifestyle,19981182828,11200000,28019
UCttspZesZIDEwwpVIgoZtWQ,@indiatv,Politics,14201438069,32900000,246686
UCupvZG-5ko_eiXAupbDfxWw,@cnn,Politics,12731751111,14400000,156673
UCBi2mrWuNuyYy4gbM6fU18Q,@abcnews,Politics,11995258535,13800000,73945
UCE2606prvXQc_noEqKxVJXA,@abscbnnews,Society,9745936107,14400000,179447
UC1yBKRuGpC1tSM73A0ZjYjQ,@theyoungturks,Politics,5901789812,5240000,46593
UCfwx98Wty7LhdlkxL5PZyLA,@truly-channel,Lifestyle,5684995482,10000000,2776
UCn8zNIfYAQNdrFRrr8oibKw,@vice,Television_program,4315880094,16300000,3740
UC16niRr50-MSBwiO3YDb3RA,@bbcnews,Society,4089593340,13400000,16958
UCLXo7UDZvByw2ixzpQCufnA,@vox,Lifestyle,2997561451,10900000,1428
UCsXVk37bltHxD1rDPwtNM8Q,@kurzgesagt,Lifestyle,2129399806,19500000,166
UCC552Sd-3nyi_tk2BudLUzA,@asapscience,Lifestyle,1790254768,10300000,445
UC6107grRI4m0o2-emgoDnAA,@smartereveryday,Technology,1074535210,10600000,359
UCvJiYiBUbw4tmpRSZT2r1Hw,@sciencechannel,Entertainment,1020971516,4400000,1908
UC06E4Y_-ybJgBUMtXx8uNNw,@thebackyardscientist,Hobby,734126790,5410000,175
UC9uD-W5zQHQuAVT2GdcLCvg,@insiderscience,Lifestyle,542825326,2370000,527
UCUHW94eEFW7hkUMVaZz4eDg,@minutephysics,Lifestyle,513233182,5580000,268
UCJcycnanWtyOGcz34jUlYZA,@incrediblescience,Hobby,350138531,847000,623
UCxo8ooAqXiObjuaIy10ud0A,@beyondscience,Lifestyle,349942608,2040000,480
UCmQXOAse-VnzuXHebX5I77g,@charlieissocoollike,,0,2120000,0
UCHJuQZuzapBh-CuhRYxIZrg,@insider,Lifestyle,4423952458,7870000,7425
UCyEd6QBSgat5kkC6svyjudA,@markwiens,Lifestyle,2215066319,9360000,1263
UCchgIh8Tc4sTmBfnMQ5pDdg,@ricksteves,Lifestyle,346822518,1610000,1919
UCGaOvAFinZ7BCN_FDmw74fQ,@expedia,Tourism,290602187,1140000,674
UC8hI77bH0VraIw6p2PHwivQ,@missminaoh,Tourism,180452331,1150000,344
UCXsQlHGuoWqukC9vz-uonrg,@collinabroadcast,Tourism,163749185,1460000,91
UCdPambxHRj0kdFPNoJFM98A,@georgebenson,Sport,151941207,1020000,1266
UC_ptyMRLOsS1Uj0a34a_xCA,@chonnyday,Food,126569583,689000,427
UCJsSEDFFnMFvW9JWU6XUn0Q,@seekerstories,Lifestyle,88299661,542000,257
UCd5xLBi_QU6w7RGm5TTznyQ,@sundayfundayz,Tourism,75488060,643000,400
UC295-Dw_tDNtZXFeAPAW6Aw,@5minutecraftsyoutube,Hobby,24469263512,77900000,5759
UC20vb-R_px4CguHzzBPhoyQ,@eminemvevo,Music,19206117646,72900000,99
UCyQYuccSyUIz24KcDqt1uAA,@edsheeranvevo,Music,1104191,929000,2
