id,title,description,customUrl,publishedAt,thumbnails.default.url,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads
UC0C-w0YjGpqDXGB8IHb662A,top_music_channels,"North American Mathematics Tour 2023: edsheeran.com/NATour

Ed Sheeranâ€¯may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

 His incredible catalogue includes the studio albums â€˜+â€™ (plus), â€˜xâ€™ (multiply) and â€˜Ã·â€™ (divide) which spawned hit singles such as â€˜The A teamâ€™ , â€™Lego Houseâ€™, â€˜Sing;, â€˜Thinking Out Loudâ€™, â€˜Photographâ€™, â€˜Shape Of Youâ€™, â€˜Castle on The Hillâ€™ and â€˜Perfectâ€™. 
 
In 2019, Ed Sheeran released the genre-spanning â€˜No.6 Collaborations Projectâ€™ which featured a wide-range of artists including â€˜Justin Bieberâ€™, â€˜Camillaâ€™ Cabelloâ€™, â€˜Travis Scottâ€™, â€˜Eminemâ€™, â€˜Cardi B, â€˜Paulo Londraâ€™, â€˜Bruno Marsâ€™ and â€˜Stormzyâ€™ amongst many others, producing hits such as â€˜I Donâ€™t Careâ€™, â€˜Beautiful Peopleâ€™, â€˜South of The Borderâ€™ and â€˜Take Me Back To Londonâ€™.
",@edsheeran,2006-08-08 13:59:50+00:00,https://yt3.ggpht.com/oIhQ0bzEP52aTEq7-Huj1_OwARGZEbhMs0plaFTyO3JUG4Tjyxrl759zxATamiWLIy3huNshMQ=s88-c-k-c0x00ffffff-no-nd-rj,28469930227,52600000,258,"['/m/06by7', '/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Rock_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UU0C-w0YjGpqDXGB8IHb662A
UCqECaJ8Gagnn7YCbPEzWH6g,top_music_channels,"I'm the problem, it's me
",@taylorswift,2006-09-20 21:05:35+00:00,https://yt3.ggpht.com/8IG_vczSZLUYnDvfHFusOMdIFRpPP8xoKX6z2BLoyALI2hep-PrlLjKEp8qnrnOjTDbAF2w4kQ=s88-c-k-c0x00ffffff-no-nd-rj,26581134599,49200000,194,"['/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UUqECaJ8Gagnn7YCbPEzWH6g
UCfM3zsQsOnfWNUppiycmBuw,top_music_channels,"Marshall Bruce Mathers III, better known by his stage name Eminem (stylized as EMINÆŽM) and by his alter ego Slim Shady, is an American rapper, record producer, songwriter and actor. Eminem, along with his solo career, is a member of his group D12, and also one half of the hip hop duo Bad Meets Evil, with Royce da 5'9"". Eminem is one of the best-selling artists in the world and is the best-selling artist of the 2000s.",@eminem,2007-02-09 00:01:36+00:00,https://yt3.ggpht.com/ytc/AMLnZu9chXkjwos_Qd9h0yw9BYm6JMZQdwhBNIOMv_Fb6g=s88-c-k-c0x00ffffff-no-rj-mo,24541103322,54000000,140,"['/m/04rlf', '/m/0glt670', '/m/02jjt']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Entertainment']",UUfM3zsQsOnfWNUppiycmBuw
UCYvmuw-JtVrTZQ-7Y4kd63Q,top_music_channels,https://www.katyperry.com/,@katyperry,2008-06-01 19:58:36+00:00,https://yt3.ggpht.com/8s2hH6UfSKbED2-UUVgCALU5BXXxvnk2ueNzBaCU-exfeoC9X1OZzDa6uqzI4cOA3ZDqyXjIsg=s88-c-k-c0x00ffffff-no-nd-rj,24334843620,43500000,119,"['/m/064t9', '/m/04rlf']","['https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Music']",UUYvmuw-JtVrTZQ-7Y4kd63Q
UC9CoOnJkIBMdeijd9qYoT_g,top_music_channels,"https://arianagrande.lnk.to/positions
",@arianagrande,2007-01-22 01:53:12+00:00,https://yt3.ggpht.com/ytc/AMLnZu81yNNzOekVh3ibzadjy4FDsMuqVdM3FTJ19u5ShA=s88-c-k-c0x00ffffff-no-rj-mo,22606534238,52000000,146,"['/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UU9CoOnJkIBMdeijd9qYoT_g
UCpDJl2EmP7Oh90Vylx0dZtA,top_music_channels,"The Spinninâ€™ Records YouTube channel is the home for all music videos of the worldâ€™s leading dance record label!

We feature the latest music videos by Spinninâ€™ artists like Afrojack, KSHMR, Ummet Ozcan, Blasterjaxx, Timmy Trumpet, Tujamo, Alok, Mike Williams, Lucas & Steve and many, many more! Expect daily uploads of official music videos, lyric videos and official audio across genres like dance, house, electro house, future house, deep house, big room and trap.

Make sure to subscribe to Spinnin' Records: http://bit.do/spinnintv.. and turn on notifications to stay updated with all new uploads!ðŸ””

Follow Spinninâ€™ Records:
https://open.spotify.com/user/spinninrecordsofficial
https://soundcloud.com/spinninrecords
https://facebook.com/SpinninRecords
https://instagram.com/spinninrecords
https://twitter.com/SpinninRecords
https://spinninrecords.com",@spinninrecords,2007-07-12 12:23:44+00:00,https://yt3.ggpht.com/ytc/AMLnZu9ppdgul4nVU7Z1bix1Bj6GiuB8zNKJUPKVzOsBkg=s88-c-k-c0x00ffffff-no-rj,20383462339,29800000,10939,"['/m/02lkt', '/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UUpDJl2EmP7Oh90Vylx0dZtA
UCoUM-UJ7rirJYP8CQ0EIaHA,top_music_channels,"An Evening With Silk Sonic: https://SilkSonic.lnk.to/AEWSSID

The official YouTube channel of Bruno Mars. 

Subscribe for the latest official music videos, live performances, official audio, and more: https://Atlantic.lnk.to/BMsubscribe
 
11x GRAMMY Award winner and 27x GRAMMY Award nominee Bruno Mars is a celebrated singer, songwriter, producer, and musician with iconic hits like ""The Lazy Song"", ""That's What I Like"", ""Just The Way You Are"", ""24K Magic"", ""Locked Out Of Heaven"", and ""When I Was Your Man"". His legendary body of work also includes blockbuster albums such as Doo-Wops & Hooligans, Unorthodox Jukebox, and 24K Magic, as well as era-defining collaborations like ""Uptown Funk"" with Mark Ronson, ""Finesse"" with Cardi B, and ""Nothin' On You"" with B.o.B. Forever classic, yet supremely innovative, Bruno continues to redefine music, style, and popular culture, pushing the boundaries of pop, R&B, funk, soul, hip-hop, and dance, and remains as influential as ever.
",@brunomars,2006-09-19 01:34:43+00:00,https://yt3.ggpht.com/vE1ESBld6LqHBv7339FuPAn1WBKJR5PFnZRzwqQ78Gp3zxB7seqCw6HfQLJIMTaz-iIjUj72=s88-c-k-c0x00ffffff-no-nd-rj,17894740372,35700000,97,"['/m/04rlf', '/m/06j6l', '/m/0glt670', '/m/064t9']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rhythm_and_blues', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Pop_music']",UUoUM-UJ7rirJYP8CQ0EIaHA
UCEdvpU2pFRCVqU6yIPyTpMQ,top_music_channels,Marshmello's Official YouTube Channel,@marshmellomusic,2015-04-06 21:21:50+00:00,https://yt3.ggpht.com/gCAlgUmrZ0D4gEzRIwk2Bc1hf5PMUNF3cBk90pR2D6fgkU1IhjuvkruStrhQdKVL3ekINivc=s88-c-k-c0x00ffffff-no-nd-rj,13763100048,56000000,403,"['/m/02lkt', '/m/04rlf', '/m/0glt670', '/m/064t9']","['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Pop_music']",UUEdvpU2pFRCVqU6yIPyTpMQ
UCa10nxShhzNrCE1o2ZOPztg,top_music_channels,"Welcome to Trap Nation.
We share music to millions of fans all over the world and feature our favourite tracks from a variety of genres.
Pushing over 150 million streams per months from over 30 million subscribers, The Nation is one of the largest music sharing communities online
",@trapnation,2012-09-23 03:23:23+00:00,https://yt3.ggpht.com/ZoViy6jSW8lGsT7Fgz7PsxsWznVseOVjGNkqh9U34cJ-7eXAGs_f2s0yCWwgxsxZT6d7icafVr8=s88-c-k-c0x00ffffff-no-rj,13595959583,30500000,2541,"['/m/02lkt', '/m/0glt670', '/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UUa10nxShhzNrCE1o2ZOPztg
UCb2HGwORFBo94DmRx4oLzow,top_music_channels,"#10YearsOf1D Listen to your favourite 1D songs hereâ€¦
https://1D.lnk.to/10YearsOf1DPlaylistsAY",@onedirectionchannel,2010-12-03 11:45:50+00:00,https://yt3.ggpht.com/ytc/AMLnZu8iGfMIshuXAHbGcVzL8jNkbghwCppSQE-_WZK-vGE=s88-c-k-c0x00ffffff-no-rj-mo,12921232637,37600000,157,"['/m/04rlf', '/m/064t9']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",UUb2HGwORFBo94DmRx4oLzow
